"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"73","112.09181357607424","69.15046130967367","0.0367431640625","0.043701171875","0.02978515625","1560","0.00020281620517966653","24","0.00020281620517966653","0","0.00020281620517966653","0.00020281620517966653","72:68;74:68;79:68","74:0.002332270719998225;79:0.0024072445177153734","72:0.24994223080572228;74:0.002174097097826816;79:0.009922374703961179","0.0367431640625","Yes"
"74","106.0175802796958","98.76402039621358","0.0086669921875","0.0107421875","0.006591796875","1560","0.0002974240331224196","24","0.0002974240331224196","0","0.0002974240331224196","0.0002974240331224196","73:68;75:68","73:0.002332270719998225;75:0.0027037812315848786","73:0.002174097097826816;75:0.002673356147838729","0.0086669921875","Yes"
"75","167.6490392353018","162.2757365005969","0.011474609375","0.01611328125","0.0068359375","1560","0.00027335925239655644","24","0.00027335925239655644","0","0.00027335925239655644","0.00027335925239655644","59:68;74:68","59:0.0027106932506349157;74:0.0027037812315848786","59:0.0031895887794994304;74:0.002673356147838729","0.011474609375","Yes"
"76","162.1037188875346","94.84424962233777","0.05322265625","0.07568359375","0.03076171875","1560","0.00034836271608189437","24","0.00034836271608189437","0","0.00034836271608189437","0.00034836271608189437","81:68;61:68","81:0.0016651906566269026;61:0.0025179650800049302","81:0.0020720483460064665;61:0.0020183191872130413","0.05322265625","Yes"
"77","166.22216794681182","51.89795495940587","0.0142822265625","0.020263671875","0.00830078125","1560","0.00032367109719069883","24","0.00032367109719069883","0","0.00032367109719069883","0.00032367109719069883","85:68;65:68","85:0.0030871228820034124;65:0.004454954945338374","85:0.002361604090156344;65:0.0031725234832622184","0.0142822265625","Yes"
"78","61.13031198171454","63.932733918317446","0.0291748046875","0.02880859375","0.028076171875","1560","0.00031752726614866724","24","0.00031752726614866724","0","0.00031752726614866724","0.00031752726614866724","69:68;89:68","69:0.002590120231829307;89:0.0027091261156916013","69:0.002035022839513706;89:0.0030361034358281913","0.0291748046875","Yes"
"79","160.63824613632505","55.4330789700611","0.009033203125","0.01123046875","0.0068359375","1560","0.0002800902064904683","24","0.0002800902064904683","0","0.0002800902064904683","0.0002800902064904683","93:68;73:68","93:0.0028481138757845414;73:0.0024072445177153734","93:0.0022381728549551727;73:0.009922374703961179","0.009033203125","Yes"
"80","151.9257126529466","100.98479925566282","0.015625","0.021240234375","0.010009765625","1560","0.0001910734362756962","24","0.0001910734362756962","0","0.0001910734362756962","0.0001910734362756962","81:68","81:0.0019841699554524195","81:0.0034789083700337287","0.015625","Yes"
"81","170.71960622340822","21.87863932884338","0.0369873046875","0.05615234375","0.017822265625","1560","0.0001966774774715534","24","0.0001966774774715534","0","0.0001966774774715534","0.0001966774774715534","80:68;82:68;76:68","80:0.0019841699554524195;82:0.011935785718432734;76:0.0016651906566269026","80:0.0034789083700337287;82:0.002402554253325917;76:0.0020720483460064665","0.0369873046875","Yes"
"82","127.12154131773204","29.32990961658494","0.0113525390625","0.019775390625","0.0029296875","1560","0.00022955068627031686","24","0.00022955068627031686","0","0.00022955068627031686","0.00022955068627031686","81:68;83:68","81:0.011935785718432734;83:0.002716177623296262","81:0.002402554253325917;83:0.00217922156035788","0.0113525390625","Yes"
"83","114.76813352111222","143.30546420885526","0.2376708984375","0.267578125","0.207763671875","1560","0.0002281761604783628","24","0.0002281761604783628","0","0.0002281761604783628","0.0002281761604783628","96:68;82:68;84:68","96:0.0016753132101984258;82:0.002716177623296262;84:0.0034579173651164696","96:0.001785107496829974;82:0.00217922156035788;84:0.002330206655097894","0.2376708984375","Yes"
"84","170.29098465309494","136.51536161681346","0.0048828125","0.007568359375","0.002197265625","1560","0.0001791054450138855","24","0.0001791054450138855","0","0.0001791054450138855","0.0001791054450138855","83:68;85:68","83:0.0034579173651164696;85:0.0020801219389110226","83:0.002330206655097894;85:0.0018059242820897825","0.0048828125","Yes"
